X,Y,OBJECTID,COUNTY,LATITUDE,LONGITUDE,STATION,RAIL_LINE,MUN_LABEL,ATIS_ID,AMTRAK
618521.1339,459008.9027,1,OCEAN,40.09271796,-74.04819191,Point Pleasant,North Jersey Coast Line,Point Pleasant Beach Borough,RAIL0122,N
621972.9957,480099.1444,2,MONMOUTH,40.15056656,-74.03545959,Spring Lake,North Jersey Coast Line,Spring Lake Borough,RAIL0141,N
624196.7508,491047.2206,3,MONMOUTH,40.180589,-74.02729578,Belmar,North Jersey Coast Line,Belmar Borough,RAIL0015,N
626480.9611,499505.6505,4,MONMOUTH,40.20377526,-74.01895649,Bradley Beach,North Jersey Coast Line,Bradley Beach Borough,RAIL0022,N
627622.2895,503731.9882,5,MONMOUTH,40.21536022,-74.01478753,Asbury Park,North Jersey Coast Line,Asbury Park City,RAIL0008,N
629819.0237,511866.4945,6,MONMOUTH,40.2376575,-74.00675941,Allenhurst,North Jersey Coast Line,Allenhurst Borough,RAIL0004,N
632321.8517,521958.7821,7,MONMOUTH,40.26532373,-73.9975894,Elberon,North Jersey Coast Line,Long Branch City,RAIL0040,N
634837.3384,533565.8137,8,MONMOUTH,40.29714701,-73.98833506,Long Branch,North Jersey Coast Line,Long Branch City,RAIL0074,N
627314.5681,539442.0076,9,MONMOUTH,40.31339403,-74.01519011,Monmouth Park,North Jersey Coast Line,Oceanport Borough,RAIL0162,N
620077.3952,544255.0538,10,MONMOUTH,40.32671232,-74.04105342,Little Silver,North Jersey Coast Line,Little Silver Borough,RAIL0073,N
610700.5347,552076.8104,11,MONMOUTH,40.34831262,-74.07455109,Red Bank,North Jersey Coast Line,Red Bank Borough,RAIL0130,N
599046.0416,567129.4211,12,MONMOUTH,40.38978028,-74.11613209,Middletown,North Jersey Coast Line,Middletown Township,RAIL0085,N
578328.6247,576373.7661,13,MONMOUTH,40.41538027,-74.19039437,Hazlet,North Jersey Coast Line,Hazlet Township,RAIL0059,N
569049.9408,578087.2561,14,MONMOUTH,40.42016847,-74.2236997,Aberdeen-Matawan,North Jersey Coast Line,Matawan Borough,RAIL0082,N
553278.9284,601408.5737,15,MIDDLESEX,40.4843101,-74.28013729,South Amboy,North Jersey Coast Line,South Amboy City,RAIL0139,N
555045.1463,610543.2266,16,MIDDLESEX,40.50937349,-74.27370313,Perth Amboy,North Jersey Coast Line,Perth Amboy City,RAIL0119,N
553877.5535,627747.7001,17,MIDDLESEX,40.55660956,-74.27774645,Woodbridge,North Jersey Coast Line,Woodbridge Township,RAIL0158,N
553936.5324,635426.6221,18,MIDDLESEX,40.57768839,-74.27746437,Avenel,North Jersey Coast Line,Woodbridge Township,RAIL0011,N
554090.1978,645883.0359,19,UNION,40.60639088,-74.27681573,Rahway,NEC / NJCL,Rahway City,RAIL0127,N
561020.597,654315.6161,20,UNION,40.6294878,-74.25176859,Linden,NEC / NJCL,Linden City,RAIL0070,N
571133.8084,668325.0074,21,UNION,40.66785989,-74.21516754,Elizabeth,NEC / NJCL,Elizabeth City,RAIL0041,N
573617.5777,672853.8812,22,UNION,40.68026927,-74.20615891,North Elizabeth,NEC / NJCL,Elizabeth City,RAIL0109,N
577870.1492,681664.8387,23,ESSEX,40.7044153,-74.19071363,Newark Airport,NEC / NJCL,Newark City,RAIL0164,Y
